Geographic area name,Year,"Total revenue ($1,000)","Revenue - From federal sources ($1,000)","Revenue - From state sources ($1,000)","Revenue - From local sources ($1,000)","Total ependiture ($1,000)","Ependiture - Current spending ($1,000)","Ependiture - Capital outlay ($1,000)","Ependiture - Other ($1,000)","Debt outstanding at end of fiscal year ($1,000)","Cash and securities ($1,000)"
Maryland,2016,14405532,823599,6334951,7246982,13748028,12516025,1055665,176338,4430271,
North Carolina,2016,13448045,1557900,8287126,3603019,14141312,12917195,912783,311334,7507374,
Virginia,2016,15977316,1058146,6297587,8621583,16245529,14752819,1161323,331387,8406541,
Alaska,2015,2920866,344111,2026555,550200,2968341,2646225,281914,40202,1362195,
District of Columbia,2015,1382282,146366,,1235916,1360942,979040,381902,0,0,
Hawaii,2015,2703683,259390,2381547,62746,2521004,2359203,161801,0,0,
Maryland,2015,14487572,819162,6267624,7400786,13656491,12430544,1050651,175296,4432670,
North Carolina,2015,13146934,1589570,8172685,3384679,13995495,12789303,698847,507345,7785453,
Virginia,2015,15580882,1012205,6240349,8328328,15860940,14458878,1086722,315340,8522464,
Alaska,2014,2663488,309525,1824373,529590,2727056,2415614,269107,42335,1272709,
District of Columbia,2014,1342220,134959,,1207261,1313289,913724,399565,0,0,
Hawaii,2014,2696766,286988,2354601,55177,2504144,2330944,173200,0,0,
Maryland,2014,13978426,816033,6186736,6975657,13450813,12146895,1131199,172719,4265471,
North Carolina,2014,13462754,1529624,7849343,4083787,13479223,12335923,609013,534287,7798315,
Virginia,2014,15083311,1009659,5994897,8078755,15451418,14049059,1041633,360726,7880850,
